time,iteration,active,new,finished,ready,io,cpuExecuted,cpuWaste,contextSwitches,contextTime,ioOperations,pageFaults,usedFrames,freeFrames,largestFreeRun,fragmentation,avgWaiting,avgExecution,cpuUtilization,quantum,algorithmChanges
6229110,104000,150,54,46,106,44,4149860,0,104000,2079228,12493,55592,160,0,0,0.000,3260879.750,16599.439,0.666,20,0
6287941,105000,150,54,46,111,39,4188576,0,105000,2099343,12600,56043,160,0,0,0.000,3311260.750,16754.305,0.666,20,0
6346905,106000,150,54,46,116,34,4227717,0,106000,2119166,12706,56505,160,0,0,0.000,3337905.750,16910.867,0.666,20,0
6407045,107000,150,53,47,114,36,4267778,0,107000,2139245,12835,57058,160,0,0,0.000,3390087.500,17071.111,0.666,20,0
6466639,108000,150,53,47,108,42,4307394,0,108000,2159223,12950,57565,160,0,0,0.000,3415399.000,17229.576,0.666,20,0
6526238,109000,150,52,48,102,48,4347133,0,109000,2179083,13096,58198,160,0,0,0.000,3464882.750,17388.531,0.666,20,0
6584906,110000,150,49,51,112,38,4385988,0,110000,2198896,13240,58817,160,0,0,0.000,3541759.750,17543.951,0.666,20,0
6645968,111000,150,49,51,110,40,4426694,0,111000,2219252,13358,59325,160,0,0,0.000,3594302.250,17706.775,0.666,20,0
6706989,112000,150,49,51,117,33,4467461,0,112000,2239506,13455,59735,160,0,0,0.000,3623331.000,17869.844,0.666,20,0
6766045,113000,150,46,54,114,36,4506767,0,113000,2259256,13571,60241,160,0,0,0.000,3703962.000,18027.068,0.666,20,0
6825949,114000,150,45,55,112,38,4546618,0,114000,2279309,13683,60708,160,0,0,0.000,3785292.750,18186.473,0.666,20,0
6886914,115000,150,45,55,112,38,4587744,0,115000,2299148,13789,61147,160,0,0,0.000,3812731.250,18350.977,0.666,20,0
6947113,116000,150,44,56,109,41,4627958,0,116000,2319133,13908,61663,160,0,0,0.000,3867088.250,18511.832,0.666,20,0
7007488,117000,150,43,57,113,37,4668454,0,117000,2339012,14026,62190,160,0,0,0.000,3921291.500,18673.816,0.666,20,0
7067067,118000,150,43,57,103,47,4707865,0,118000,2359180,14139,62701,160,0,0,0.000,3949185.250,18831.461,0.666,20,0
7126712,119000,150,42,58,106,44,4747264,0,119000,2379426,14269,63261,160,0,0,0.000,3974150.250,18989.057,0.666,20,0
7186791,120000,150,42,58,106,44,4787512,0,120000,2399257,14391,63767,160,0,0,0.000,4028756.750,19150.049,0.666,20,0
7246691,121000,150,41,59,106,44,4827305,0,121000,2419364,14525,64329,160,0,0,0.000,4082888.750,19309.221,0.666,20,0
7306010,122000,150,40,60,122,28,4866638,0,122000,2439350,14635,64805,160,0,0,0.000,4137617.750,19466.553,0.666,20,0
7366791,123000,150,39,61,116,34,4907220,0,123000,2459549,14743,65282,160,0,0,0.000,4166102.250,19628.881,0.666,20,0
7425942,124000,150,39,61,122,28,4946561,0,124000,2479359,14849,65742,160,0,0,0.000,4222513.500,19786.244,0.666,20,0
7486864,125000,150,37,63,111,39,4987301,0,125000,2499541,14963,66232,160,0,0,0.000,4310716.500,19949.203,0.666,20,0
7547090,126000,150,34,66,103,47,5027582,0,126000,2519486,15094,66788,160,0,0,0.000,4427364.000,20110.328,0.666,20,0
7607528,127000,150,34,66,110,40,5067996,0,127000,2539510,15211,67296,160,0,0,0.000,4452881.500,20271.984,0.666,20,0
7667597,128000,150,34,66,115,35,5107801,0,128000,2559774,15335,67835,160,0,0,0.000,4479298.500,20431.203,0.666,20,0
7728027,129000,150,34,66,112,38,5148160,0,129000,2579845,15457,68372,160,0,0,0.000,4505574.500,20592.641,0.666,20,0
7787962,130000,150,34,66,110,40,5188388,0,130000,2599552,15589,68960,160,0,0,0.000,4532040.000,20753.553,0.666,20,0
7848294,131000,150,34,66,107,43,5228500,0,131000,2619772,15721,69517,160,0,0,0.000,4557384.500,20914.000,0.666,20,0
7907787,132000,150,34,66,105,45,5267980,0,132000,2639785,15847,70053,160,0,0,0.000,4581684.500,21071.920,0.666,20,0
7967828,133000,150,32,68,106,44,5307868,0,133000,2659938,15984,70654,160,0,0,0.000,4671206.000,21231.473,0.666,20,0
8029343,134000,150,29,71,117,33,5349219,0,134000,2680102,16092,71109,160,0,0,0.000,4793695.500,21396.877,0.666,20,0
8090498,135000,150,28,72,118,32,5390188,0,135000,2700288,16205,71605,160,0,0,0.000,4821675.000,21560.752,0.666,20,0
8150493,136000,150,28,72,105,45,5430012,0,136000,2720459,16322,72129,160,0,0,0.000,4881104.500,21720.049,0.666,20,0
8209813,137000,150,28,72,116,34,5469175,0,137000,2740616,16446,72673,160,0,0,0.000,4907203.000,21876.699,0.666,20,0
8270157,138000,150,28,72,114,36,5509803,0,138000,2760332,16555,73152,160,0,0,0.000,4935766.000,22039.213,0.666,20,0
8330400,139000,150,28,72,103,47,5550166,0,139000,2780212,16682,73660,160,0,0,0.000,4962277.000,22200.664,0.666,20,0
8390082,140000,150,28,72,107,43,5589812,0,140000,2800248,16802,74173,160,0,0,0.000,4985987.500,22359.248,0.666,20,0
8449683,141000,150,28,72,100,50,5629148,0,141000,2820513,16930,74738,160,0,0,0.000,5011666.500,22516.592,0.666,20,0
8509601,142000,150,27,73,114,36,5669098,0,142000,2840481,17047,75242,160,0,0,0.000,5070974.000,22676.393,0.666,20,0
8569334,143000,150,27,73,109,41,5708958,0,143000,2860354,17170,75738,160,0,0,0.000,5097865.000,22835.832,0.666,20,0
8629619,144000,150,27,73,107,43,5749027,0,144000,2880570,17292,76237,160,0,0,0.000,5124268.500,22996.107,0.666,20,0
8689759,145000,150,27,73,109,41,5789357,0,145000,2900380,17419,76760,160,0,0,0.000,5150074.000,23157.428,0.666,20,0
8749317,146000,150,27,73,102,48,5828936,0,146000,2920359,17549,77297,160,0,0,0.000,5175419.000,23315.744,0.666,20,0
8809365,147000,150,27,73,117,33,5868640,0,147000,2940703,17666,77788,160,0,0,0.000,5200302.500,23474.561,0.666,20,0
8868564,148000,150,27,73,111,39,5908246,0,148000,2960296,17763,78206,160,0,0,0.000,5227926.000,23632.984,0.666,20,0
8928985,149000,150,24,76,117,33,5948636,0,149000,2980327,17882,78714,160,0,0,0.000,5325865.000,23794.545,0.666,20,0
8988258,150000,150,23,77,110,40,5987979,0,150000,3000257,18013,79253,160,0,0,0.000,5387941.500,23951.916,0.666,20,0
9049593,151000,150,23,77,104,46,6029109,0,151000,3020462,18128,79729,160,0,0,0.000,5451328.000,24116.436,0.666,20,0
9109110,152000,150,22,78,111,39,6068766,0,152000,3040322,18236,80193,160,0,0,0.000,5513316.000,24275.064,0.666,20,0
9169808,153000,150,21,79,120,30,6109153,0,153000,3060633,18327,80588,160,0,0,0.000,5576542.500,24436.611,0.666,20,0
9229691,154000,150,21,79,114,36,6148885,0,154000,3080784,18446,81085,160,0,0,0.000,5603497.500,24595.539,0.666,20,0
9290492,155000,150,21,79,112,38,6189553,0,155000,3100917,18556,81546,160,0,0,0.000,5631617.500,24758.213,0.666,20,0
9350397,156000,150,21,79,112,38,6229512,0,156000,3120863,18664,82025,160,0,0,0.000,5657696.500,24918.049,0.666,20,0
9410098,157000,150,19,81,103,47,6269058,0,157000,3141018,18781,82528,160,0,0,0.000,5758928.000,25076.232,0.666,20,0
9471350,158000,150,16,84,104,46,6310207,0,158000,3161121,18895,83024,160,0,0,0.000,5899126.500,25240.828,0.666,20,0
9531447,159000,150,15,85,109,41,6350643,0,159000,3180782,19001,83472,160,0,0,0.000,5963282.000,25402.572,0.666,20,0
9591565,160000,150,15,85,111,39,6390432,0,160000,3201111,19108,83937,160,0,0,0.000,5990652.000,25561.729,0.666,20,0
9651347,161000,150,15,85,105,45,6430220,0,161000,3221105,19234,84475,160,0,0,0.000,6016487.500,25720.881,0.666,20,0
9711499,162000,150,15,85,107,43,6470192,0,162000,3241285,19339,84932,160,0,0,0.000,6043736.500,25880.768,0.666,20,0
9771283,163000,150,13,87,106,44,6510155,0,163000,3261106,19483,85567,160,0,0,0.000,6107421.000,26040.619,0.666,20,0
9829935,164000,150,12,88,108,42,6549068,0,164000,3280845,19608,86117,160,0,0,0.000,6210317.500,26196.271,0.666,20,0
9889156,165000,150,11,89,114,36,6588478,0,165000,3300656,19724,86613,160,0,0,0.000,6276213.000,26353.912,0.666,20,0
9948733,166000,150,10,90,127,23,6628253,0,166000,3320458,19823,87045,160,0,0,0.000,6344012.000,26513.012,0.666,20,0
10008789,167000,150,8,92,107,43,6668380,0,167000,3340387,19947,87586,160,0,0,0.000,6411635.500,26673.520,0.666,20,0
10068396,168000,150,7,93,114,36,6708137,0,168000,3360237,20072,88126,160,0,0,0.000,6517382.000,26832.549,0.666,20,0
10129076,169000,150,7,93,106,44,6748647,0,169000,3380407,20194,88652,160,0,0,0.000,6543504.500,26994.588,0.666,20,0
10188554,170000,150,6,94,114,36,6787993,0,170000,3400539,20309,89142,160,0,0,0.000,6570177.000,27151.973,0.666,20,0
10248593,171000,150,5,95,115,35,6828248,0,171000,3420323,20419,89625,160,0,0,0.000,6638632.500,27312.992,0.666,20,0
10308368,172000,150,4,96,102,48,6868168,0,172000,3440178,20552,90189,160,0,0,0.000,6746252.000,27472.672,0.666,20,0
10368146,173000,150,2,98,118,32,6907836,0,173000,3460288,20662,90651,160,0,0,0.000,6854999.000,27631.344,0.666,20,0
10428390,174000,150,2,98,109,41,6947826,0,174000,3480542,20778,91161,160,0,0,0.000,6882761.500,27791.305,0.666,20,0
10488858,175000,150,2,98,113,37,6988516,0,175000,3500320,20892,91680,160,0,0,0.000,6909424.500,27954.064,0.666,20,0
10549362,176000,150,2,98,98,52,7028993,0,176000,3520347,21018,92235,160,0,0,0.000,6936401.000,28115.973,0.666,20,0
10610568,177000,150,2,98,103,47,7070299,0,177000,3540247,21156,92836,160,0,0,0.000,6961194.500,28281.195,0.666,20,0
