processId,pid,state,priority,active,arrival,creationDelay,start,finish,totalCpu,remaining,currentInstance,contextSwitch,lastContextSwitch,totalContextSwitchTime,executed,timesExecuted,waiting,turnaround,ioDevice,ioRemaining,timesInIo,memoryRequested,totalMemoryAllocated,pageCount,pageFaults,swapIns,swapOuts,cpuWasteRatio,agingCounter,returnsToReady,cpuWasteCycles
BS-071,71,FINISHED,0,0,568,22,3175422,4104970,4004,0,0,21,97,1975,4004,97,3815329,4104402,-1,0,16,0,400,20,91,71,91,0.000,0,0,0
BT-072,72,FINISHED,0,1,78,18,1161,13313628,60025,0,0,10,1521,30382,60025,1521,9445389,13313550,-1,0,185,0,160,8,759,751,759,0.000,0,0,0
BU-073,73,FINISHED,0,0,611,49,5381838,14981079,52204,0,0,13,1304,26250,52204,1304,11535525,14980468,-1,0,165,0,160,8,701,663,693,0.000,0,0,0
BV-074,74,FINISHED,0,0,707,14,7204991,15657894,66240,0,0,28,1655,33182,66240,1655,12214847,15657187,-1,0,189,0,160,8,580,572,572,0.000,0,0,0
BW-075,75,FINISHED,0,1,254,30,4880,1445371,6168,0,0,14,156,2993,6168,156,1030146,1445117,-1,0,19,0,160,8,82,74,82,0.000,0,0,0
BX-076,76,FINISHED,0,0,683,33,7159142,10251052,14238,0,0,30,352,7131,14238,352,9459646,10250369,-1,0,48,48,400,20,234,214,234,0.000,0,0,0
BY-077,77,FINISHED,0,0,787,17,9792168,12578089,13585,0,0,11,344,7068,13585,344,11783980,12577302,-1,0,33,0,160,8,136,125,133,0.000,0,0,0
BZ-078,78,FINISHED,0,1,306,46,5902,9495735,43561,0,0,29,1067,21105,43561,1067,7058646,9495429,-1,0,115,0,400,20,550,530,550,0.000,0,0,0
CA-079,79,FINISHED,0,1,277,46,5556,15076825,73735,0,0,26,1823,36350,73735,1823,9909021,15076548,-1,0,235,30,160,8,1000,980,998,0.000,0,0,0
CB-080,80,FINISHED,0,0,644,35,6365609,11118328,19900,0,0,25,500,10021,19900,500,9645529,11117684,-1,0,58,0,160,8,252,244,252,0.000,0,0,0
CC-081,81,FINISHED,0,0,720,8,7519366,14356814,34994,0,0,19,889,17759,34994,889,12082935,14356094,-1,0,107,0,400,20,496,476,491,0.000,0,0,0
CD-082,82,FINISHED,0,1,334,46,6233,5266922,24409,0,0,28,592,11942,24409,592,3943079,5266588,-1,0,68,0,400,20,336,316,336,0.000,0,0,0
CE-083,83,FINISHED,0,1,148,11,2174,10323790,44122,0,0,21,1110,22189,44122,1110,7327621,10323642,-1,0,145,0,160,8,582,574,582,0.000,0,0,0
CF-084,84,FINISHED,0,1,226,23,3770,13099634,60431,0,0,22,1531,30303,60431,1531,9591939,13099408,-1,0,190,0,160,8,748,740,748,0.000,0,0,0
CG-085,85,FINISHED,0,1,258,22,4670,4337734,19290,0,0,21,474,9346,19290,474,3143392,4337476,-1,0,58,0,160,8,163,155,161,0.000,0,0,0
CH-086,86,FINISHED,0,1,442,49,8098,6701833,32536,0,0,15,793,15787,32536,793,5255611,6701391,-1,0,78,0,400,20,381,361,381,0.000,0,0,0
CI-087,87,FINISHED,0,1,468,25,8278,14595172,70767,0,0,10,1755,34811,70767,1755,9902264,14594704,-1,0,226,0,400,20,1010,990,1007,0.000,0,0,0
CJ-088,88,FINISHED,0,1,398,25,6910,10621194,46488,0,0,30,1155,23172,46488,1155,7644640,10620796,-1,0,133,0,400,20,623,603,623,0.000,0,0,0
CK-089,89,FINISHED,0,1,140,8,1929,3965520,18142,0,0,11,458,9068,18142,458,3036230,3965380,-1,0,42,0,160,8,183,175,183,0.000,0,0,0
CL-090,90,FINISHED,0,1,295,46,5786,10099788,44834,0,0,16,1112,22169,44834,1112,7356143,10099493,-1,0,126,0,400,20,576,556,576,0.000,0,0,0
CM-091,91,FINISHED,0,0,669,36,6930561,15280970,56025,0,0,17,1411,27873,56025,1411,12548840,15280301,-1,0,169,0,160,8,705,685,698,0.000,0,0,0
CN-092,92,FINISHED,0,0,569,16,2864485,5375288,11993,0,0,25,293,6011,11993,293,4785016,5374719,-1,0,34,18,400,20,185,165,185,0.000,0,0,0
CO-093,93,FINISHED,0,1,264,9,4459,10825180,48456,0,0,29,1223,24390,48456,1223,8095802,10824916,-1,0,141,18,400,20,672,652,668,0.000,0,0,0
CP-094,94,FINISHED,0,1,419,49,7690,13046315,59966,0,0,10,1505,29988,59966,1505,9533357,13045896,-1,0,168,0,400,20,810,790,810,0.000,0,0,0
CQ-095,95,FINISHED,0,0,658,8,5714478,13461608,34459,0,0,27,875,17515,34459,875,10894258,13460950,-1,0,117,0,160,8,459,451,459,0.000,0,0,0
CR-096,96,FINISHED,0,0,584,34,4299220,13692507,44812,0,0,12,1108,21856,44812,1108,10745106,13691923,-1,0,143,25,160,8,569,561,569,0.000,0,0,0
CS-097,97,FINISHED,0,0,573,33,3294875,12049653,36919,0,0,16,939,18975,36919,939,9323660,12049080,-1,0,130,25,160,8,514,506,510,0.000,0,0,0
CT-098,98,FINISHED,0,1,218,6,3348,14076692,68858,0,0,30,1731,34849,68858,1731,10232067,14076474,-1,0,216,0,160,8,825,817,825,0.000,0,0,0
CU-099,99,FINISHED,0,0,520,17,984748,9683994,40631,0,0,12,1032,20578,40631,1032,7773121,9683474,-1,0,104,0,160,8,425,417,425,0.000,0,0,0
CV-100,100,FINISHED,0,1,127,47,2360,14645729,76695,0,0,23,1918,38728,76695,1918,10582547,14645602,-1,0,222,0,160,8,894,886,889,0.000,0,0,0
CW-101,101,FINISHED,0,0,510,6,127558,12923007,54566,0,0,19,1373,27303,54566,1373,8792895,12922497,-1,0,183,0,160,8,725,717,725,0.000,0,0,0
CX-102,102,FINISHED,0,1,404,13,6774,5366148,26480,0,0,25,647,12746,26480,647,4298906,5365744,-1,0,74,0,400,20,353,333,353,0.000,0,0,0
CY-103,103,FINISHED,0,1,408,36,7256,11469629,52464,0,0,11,1297,25993,52464,1297,8527595,11469221,-1,0,145,0,400,20,662,642,662,0.000,0,0,0
CZ-104,104,FINISHED,0,1,59,25,955,3331617,14719,0,0,24,366,7296,14719,366,2427508,3331558,-1,0,47,0,160,8,207,199,207,0.000,0,0,0
DA-105,105,FINISHED,0,0,600,47,5273429,15459093,64487,0,0,22,1616,32643,64487,1616,11433418,15458493,-1,0,192,0,160,8,731,711,720,0.000,0,0,0
DB-106,106,FINISHED,0,1,500,27,9141,4368013,19550,0,0,11,484,9623,19550,484,3197997,4367513,-1,0,59,0,400,20,294,274,294,0.000,0,0,0
DC-107,107,FINISHED,0,0,692,49,7790303,15272594,45764,0,0,23,1147,23058,45764,1147,12303710,15271902,-1,0,136,18,400,20,554,524,540,0.000,0,0,0
DD-108,108,FINISHED,0,0,639,33,6010849,15175351,53331,0,0,12,1352,27500,53331,1352,12113823,15174712,-1,0,162,0,400,20,732,712,724,0.000,0,0,0
DE-109,109,FINISHED,0,1,392,23,6691,155152,809,0,0,22,21,412,809,21,142070,154760,-1,0,2,0,166,20,24,10,21,0.000,0,0,0
DF-110,110,FINISHED,0,1,420,16,7123,10399668,46936,0,0,18,1195,23832,46936,1195,7900140,10399248,-1,0,131,0,400,20,631,611,631,0.000,0,0,0
DG-111,111,FINISHED,0,0,786,49,10406560,11495453,4840,0,0,26,127,2580,4840,127,11199869,11494667,-1,0,15,0,400,20,95,75,90,0.000,0,0,0
DH-112,112,FINISHED,0,0,592,27,4373896,15595260,79519,0,0,24,1991,39839,79519,1991,11697519,15594668,-1,0,235,0,400,20,889,869,875,0.000,0,0,0
DI-113,113,FINISHED,0,1,471,2,7846,4830266,21995,0,0,28,535,10655,21995,535,3569477,4829795,-1,0,57,0,400,20,283,263,283,0.000,0,0,0
DJ-114,114,FINISHED,0,1,189,32,3279,6754253,28007,0,0,24,697,13937,28007,697,4625530,6754064,-1,0,88,48,160,8,277,269,276,0.000,0,0,0
DK-115,115,FINISHED,0,0,775,41,10210876,15653276,54603,0,0,10,1362,27339,54603,1362,13215205,15652501,-1,0,177,9,160,8,427,419,419,0.000,0,0,0
DL-116,116,FINISHED,0,0,519,2,160811,8320420,36070,0,0,27,910,18050,36070,910,6177669,8319901,-1,0,96,0,400,20,462,442,459,0.000,0,0,0
DM-117,117,FINISHED,0,1,204,14,3149,14692342,71563,0,0,17,1813,36522,71563,1813,9994287,14692138,-1,0,232,30,160,8,388,380,381,0.000,0,0,0
DN-118,118,FINISHED,0,1,154,2,2124,10204131,43462,0,0,14,1081,21769,43462,1081,7140121,10203977,-1,0,136,0,160,8,552,544,552,0.000,0,0,0
DO-119,119,FINISHED,0,0,542,40,2373770,6279395,16639,0,0,22,412,8150,16639,412,5090447,6278853,-1,0,54,0,160,8,221,213,221,0.000,0,0,0
DP-120,120,FINISHED,0,1,453,40,8359,8852566,39087,0,0,27,968,19740,39087,968,6424837,8852113,-1,0,122,0,400,20,584,564,584,0.000,0,0,0
DQ-121,121,FINISHED,0,1,21,47,537,13988952,70638,0,0,14,1734,34598,70638,1734,10378874,13988931,-1,0,209,0,160,8,840,832,840,0.000,0,0,0
