[2026-05-29 14:04:02.770] INFO: Context switch: proceso A-28, cambios: 5
[2026-05-29 14:04:02.791] INFO: Context switch: proceso A-21, cambios: 7
[2026-05-29 14:04:02.812] INFO: Context switch: proceso A-57, cambios: 2
[2026-05-29 14:04:02.832] INFO: Context switch: proceso A-29, cambios: 5
[2026-05-29 14:04:02.853] INFO: Context switch: proceso A-45, cambios: 3
[2026-05-29 14:04:02.873] INFO: Context switch: proceso A-66, cambios: 1
[2026-05-29 14:04:02.894] INFO: Context switch: proceso A-1, cambios: 8
[2026-05-29 14:04:02.914] INFO: Context switch: proceso A-67, cambios: 1
[2026-05-29 14:04:02.934] INFO: Context switch: proceso A-58, cambios: 2
[2026-05-29 14:04:02.955] INFO: Context switch: proceso A-47, cambios: 3
[2026-05-29 14:04:02.976] INFO: Context switch: proceso A-38, cambios: 2
[2026-05-29 14:04:02.997] INFO: Context switch: proceso A-6, cambios: 4
[2026-05-29 14:04:03.017] INFO: Context switch: proceso A-68, cambios: 1
[2026-05-29 14:04:03.038] INFO: Context switch: proceso A-16, cambios: 3
[2026-05-29 14:04:03.058] INFO: Context switch: proceso A-23, cambios: 5
[2026-05-29 14:04:03.079] INFO: Context switch: proceso A-17, cambios: 9
[2026-05-29 14:04:03.099] INFO: Context switch: proceso A-59, cambios: 2
[2026-05-29 14:04:03.120] INFO: Context switch: proceso A-13, cambios: 4
[2026-05-29 14:04:03.140] INFO: Context switch: proceso A-69, cambios: 1
[2026-05-29 14:04:03.161] INFO: Context switch: proceso A-36, cambios: 4
[2026-05-29 14:04:03.182] INFO: Context switch: proceso A-70, cambios: 1
[2026-05-29 14:04:03.203] INFO: Context switch: proceso A-49, cambios: 3
[2026-05-29 14:04:03.224] INFO: Context switch: proceso A-41, cambios: 3
[2026-05-29 14:04:03.244] INFO: Context switch: proceso A-71, cambios: 1
[2026-05-29 14:04:03.265] INFO: Context switch: proceso A-25, cambios: 6
[2026-05-29 14:04:03.285] INFO: Context switch: proceso A-37, cambios: 4
[2026-05-29 14:04:03.305] INFO: Context switch: proceso A-10, cambios: 3
[2026-05-29 14:04:03.326] INFO: Context switch: proceso A-72, cambios: 1
[2026-05-29 14:04:03.346] INFO: Context switch: proceso A-30, cambios: 5
[2026-05-29 14:04:03.367] INFO: Context switch: proceso A-62, cambios: 2
[2026-05-29 14:04:03.388] INFO: Context switch: proceso A-73, cambios: 1
[2026-05-29 14:04:03.409] INFO: Context switch: proceso A-7, cambios: 15
[2026-05-29 14:04:03.430] INFO: Context switch: proceso A-8, cambios: 3
[2026-05-29 14:04:03.450] INFO: Context switch: proceso A-51, cambios: 3
[2026-05-29 14:04:03.471] INFO: Context switch: proceso A-31, cambios: 4
[2026-05-29 14:04:03.491] INFO: Context switch: proceso A-39, cambios: 4
[2026-05-29 14:04:03.512] INFO: Context switch: proceso A-74, cambios: 1
[2026-05-29 14:04:03.532] INFO: Context switch: proceso A-14, cambios: 3
[2026-05-29 14:04:03.552] INFO: Context switch: proceso A-26, cambios: 6
[2026-05-29 14:04:03.573] INFO: Context switch: proceso A-53, cambios: 3
[2026-05-29 14:04:03.595] INFO: Context switch: proceso A-40, cambios: 4
[2026-05-29 14:04:03.615] INFO: Context switch: proceso A-54, cambios: 3
[2026-05-29 14:04:03.636] INFO: Context switch: proceso A-75, cambios: 1
[2026-05-29 14:04:03.657] INFO: Context switch: proceso A-5, cambios: 3
[2026-05-29 14:04:03.677] INFO: Context switch: proceso A-63, cambios: 2
[2026-05-29 14:04:03.698] INFO: Context switch: proceso A-76, cambios: 1
[2026-05-29 14:04:03.718] INFO: Context switch: proceso A-77, cambios: 1
[2026-05-29 14:04:03.739] INFO: Context switch: proceso A-55, cambios: 3
[2026-05-29 14:04:03.759] INFO: Context switch: proceso A-65, cambios: 2
[2026-05-29 14:04:03.779] INFO: Context switch: proceso A-34, cambios: 5
[2026-05-29 14:04:03.801] INFO: Context switch: proceso A-78, cambios: 1
[2026-05-29 14:04:03.822] INFO: Context switch: proceso A-28, cambios: 6
[2026-05-29 14:04:03.842] INFO: Context switch: proceso A-79, cambios: 1
[2026-05-29 14:04:03.863] INFO: Context switch: proceso A-57, cambios: 3
[2026-05-29 14:04:03.883] INFO: Context switch: proceso A-21, cambios: 8
[2026-05-29 14:04:03.904] INFO: Context switch: proceso A-29, cambios: 6
[2026-05-29 14:04:03.924] INFO: Context switch: proceso A-80, cambios: 1
[2026-05-29 14:04:03.944] INFO: Context switch: proceso A-45, cambios: 4
[2026-05-29 14:04:03.965] INFO: Context switch: proceso A-81, cambios: 1
[2026-05-29 14:04:03.986] INFO: Context switch: proceso A-66, cambios: 2
[2026-05-29 14:04:04.006] INFO: Context switch: proceso A-1, cambios: 9
[2026-05-29 14:04:04.027] INFO: Context switch: proceso A-58, cambios: 3
[2026-05-29 14:04:04.048] INFO: Context switch: proceso A-6, cambios: 5
[2026-05-29 14:04:04.068] INFO: Context switch: proceso A-23, cambios: 6
[2026-05-29 14:04:04.089] INFO: Context switch: proceso A-17, cambios: 10
[2026-05-29 14:04:04.109] INFO: Context switch: proceso A-32, cambios: 2
[2026-05-29 14:04:04.130] INFO: Context switch: proceso A-59, cambios: 3
[2026-05-29 14:04:04.150] INFO: Context switch: proceso A-82, cambios: 1
[2026-05-29 14:04:04.170] INFO: Context switch: proceso A-83, cambios: 1
[2026-05-29 14:04:04.191] INFO: Context switch: proceso A-33, cambios: 5
[2026-05-29 14:04:04.215] INFO: Context switch: proceso A-49, cambios: 4
[2026-05-29 14:04:04.236] INFO: Context switch: proceso A-84, cambios: 1
[2026-05-29 14:04:04.256] INFO: Context switch: proceso A-41, cambios: 4
[2026-05-29 14:04:04.277] INFO: Context switch: proceso A-85, cambios: 1
[2026-05-29 14:04:04.297] INFO: Context switch: proceso A-25, cambios: 7
[2026-05-29 14:04:04.318] INFO: Context switch: proceso A-86, cambios: 1
[2026-05-29 14:04:04.338] INFO: Context switch: proceso A-37, cambios: 5
[2026-05-29 14:04:04.359] INFO: Context switch: proceso A-10, cambios: 4
[2026-05-29 14:04:04.381] INFO: Context switch: proceso A-72, cambios: 2
[2026-05-29 14:04:04.401] INFO: Context switch: proceso A-87, cambios: 1
[2026-05-29 14:04:04.423] INFO: Context switch: proceso A-7, cambios: 16
[2026-05-29 14:04:04.443] INFO: Context switch: proceso A-8, cambios: 4
[2026-05-29 14:04:04.464] INFO: Context switch: proceso A-31, cambios: 5
[2026-05-29 14:04:04.484] INFO: Context switch: proceso A-67, cambios: 2
[2026-05-29 14:04:04.504] INFO: Context switch: proceso A-39, cambios: 5
[2026-05-29 14:04:04.524] INFO: Context switch: proceso A-74, cambios: 2
[2026-05-29 14:04:04.545] INFO: Context switch: proceso A-14, cambios: 4
[2026-05-29 14:04:04.565] INFO: Context switch: proceso A-4, cambios: 4
[2026-05-29 14:04:04.585] INFO: Context switch: proceso A-88, cambios: 1
[2026-05-29 14:04:04.606] INFO: Context switch: proceso A-53, cambios: 4
[2026-05-29 14:04:04.626] INFO: Context switch: proceso A-40, cambios: 5
[2026-05-29 14:04:04.648] INFO: Context switch: proceso A-89, cambios: 1
[2026-05-29 14:04:04.670] INFO: Context switch: proceso A-36, cambios: 5
[2026-05-29 14:04:04.690] INFO: Context switch: proceso A-54, cambios: 4
[2026-05-29 14:04:04.710] INFO: Context switch: proceso A-90, cambios: 1
[2026-05-29 14:04:04.730] INFO: Context switch: proceso A-50, cambios: 3
[2026-05-29 14:04:04.751] INFO: Context switch: proceso A-91, cambios: 1
[2026-05-29 14:04:04.771] INFO: Context switch: proceso A-92, cambios: 1
[2026-05-29 14:04:04.792] INFO: Context switch: proceso A-63, cambios: 3
[2026-05-29 14:04:04.812] INFO: Context switch: proceso A-93, cambios: 1
[2026-05-29 14:04:04.833] INFO: Context switch: proceso A-76, cambios: 2
[2026-05-29 14:04:04.853] INFO: Context switch: proceso A-55, cambios: 4
[2026-05-29 14:04:04.876] INFO: Context switch: proceso A-94, cambios: 1
[2026-05-29 14:04:04.897] INFO: Context switch: proceso A-34, cambios: 6
[2026-05-29 14:04:04.917] INFO: Context switch: proceso A-95, cambios: 1
[2026-05-29 14:04:04.938] INFO: Context switch: proceso A-78, cambios: 2
[2026-05-29 14:04:04.958] INFO: Context switch: proceso A-96, cambios: 1
[2026-05-29 14:04:04.978] INFO: Context switch: proceso A-79, cambios: 2
[2026-05-29 14:04:04.999] INFO: Context switch: proceso A-57, cambios: 4
[2026-05-29 14:04:05.019] INFO: Context switch: proceso A-21, cambios: 9
[2026-05-29 14:04:05.040] INFO: Context switch: proceso A-29, cambios: 7
[2026-05-29 14:04:05.061] INFO: Context switch: proceso A-80, cambios: 2
[2026-05-29 14:04:05.084] INFO: Context switch: proceso A-44, cambios: 3
[2026-05-29 14:04:05.105] INFO: Context switch: proceso A-45, cambios: 5
[2026-05-29 14:04:05.125] INFO: Context switch: proceso A-97, cambios: 1
[2026-05-29 14:04:05.146] INFO: Context switch: proceso A-81, cambios: 2
[2026-05-29 14:04:05.166] INFO: Context switch: proceso A-98, cambios: 1
[2026-05-29 14:04:05.186] INFO: Context switch: proceso A-9, cambios: 8
[2026-05-29 14:04:05.206] INFO: Context switch: proceso A-66, cambios: 3
[2026-05-29 14:04:05.227] INFO: Context switch: proceso A-1, cambios: 10
[2026-05-29 14:04:05.248] INFO: Context switch: proceso A-99, cambios: 1
[2026-05-29 14:04:05.269] INFO: Context switch: proceso A-58, cambios: 4
[2026-05-29 14:04:05.290] INFO: Context switch: proceso A-6, cambios: 6
[2026-05-29 14:04:05.310] INFO: Context switch: proceso A-17, cambios: 11
[2026-05-29 14:04:05.331] INFO: Context switch: proceso A-35, cambios: 4
[2026-05-29 14:04:05.351] INFO: Context switch: proceso A-32, cambios: 3
[2026-05-29 14:04:05.371] INFO: Context switch: proceso A-100, cambios: 1
[2026-05-29 14:04:05.392] INFO: Context switch: proceso A-59, cambios: 4
[2026-05-29 14:04:05.412] INFO: Context switch: proceso A-82, cambios: 2
[2026-05-29 14:04:05.433] INFO: Context switch: proceso A-83, cambios: 2
[2026-05-29 14:04:05.457] INFO: Context switch: proceso B-1, cambios: 1
[2026-05-29 14:04:05.477] INFO: Context switch: proceso A-24, cambios: 4
